File	Relation ID	PDTB3 sense	Type	Connective	External argument	Internal argument	Full text
maz-3110.xml	18		EntRel		30 Jahre zählt das Neubauwohngebiet , und etwa jeder dritte Kiewitter ist von Anfang an dabei .	Was die Menschen hier hält , ist durchaus nicht nur die Unlust , die oft kleinen Räume im Alter noch gegen größere zu tauschen .	30 Jahre zählt das Neubauwohngebiet , und etwa jeder dritte Kiewitter ist von Anfang an dabei . Was die Menschen hier hält , ist durchaus nicht nur die Unlust , die oft kleinen Räume im Alter noch gegen größere zu tauschen .
maz-3110.xml	19	Expansion.Instantiation.Arg2-as-instance	implicit		Am Kiewitt dagegen pflegt man Bodenständigkeit :	Die Platte hat sich inwendig erneuert und äußerlich Farbe aufgelegt .	Am Kiewitt dagegen pflegt man Bodenständigkeit : Die Platte hat sich inwendig erneuert und äußerlich Farbe aufgelegt .
maz-3110.xml	20	Temporal.Asynchronous.Precedence	AltLex	Nun	Die Platte hat sich inwendig erneuert und äußerlich Farbe aufgelegt .	Nun sollte man im Umfeld nachziehen - die Treuhand mit der Ufergaststätte etwa .	Die Platte hat sich inwendig erneuert und äußerlich Farbe aufgelegt . Nun sollte man im Umfeld nachziehen - die Treuhand mit der Ufergaststätte etwa .
maz-9852.xml	4	Expansion.Conjunction	explicit	und	Sie sind rebellisch	machen dumme Sachen	Sie sind rebellisch und machen dumme Sachen
maz-9852.xml	6	Comparison.Concession.Arg2-as-denier	explicit	Aber	Sie wegzuschließen , scheint eine Lösung zu sein .	nicht alle Jugendlichen lassen sich während schwieriger Lebensphasen einfach wegsperren .	Sie wegzuschließen , scheint eine Lösung zu sein . Aber nicht alle Jugendlichen lassen sich während schwieriger Lebensphasen einfach wegsperren .
maz-9852.xml	7	Contingency.Cause.Result	explicit	Deshalb	Aber nicht alle Jugendlichen lassen sich während schwieriger Lebensphasen einfach wegsperren	. ist es sehr lobenswert , dass sich auch in Königs Wusterhausen der Verein Jugendrechtshaus gegründet hat	Aber nicht alle Jugendlichen lassen sich während schwieriger Lebensphasen einfach wegsperren . Deshalb ist es sehr lobenswert , dass sich auch in Königs Wusterhausen der Verein Jugendrechtshaus gegründet hat
maz-9852.xml	14	Expansion.Conjunction	explicit	und	Sie wollen Rechtsbewusstsein lehren , Ansprechpartner sein	die jungen Leute an die Regeln des menschlichen Zusammenlebens heranführen .	Sie wollen Rechtsbewusstsein lehren , Ansprechpartner sein und die jungen Leute an die Regeln des menschlichen Zusammenlebens heranführen .
maz-9852.xml	19	Comparison.Concession.Arg2-as-denier	explicit	jedoch	Orientierungslose Menschen gibt es überall .	Vielen Ostdeutschen wurde wendebedingt eingeredet : Ihr habt alles falsch gemacht !	Orientierungslose Menschen gibt es überall . Vielen Ostdeutschen wurde wendebedingt jedoch eingeredet : Ihr habt alles falsch gemacht !
maz-9852.xml	20	Expansion.Conjunction	explicit	Und	Vielen Ostdeutschen wurde wendebedingt jedoch eingeredet : Ihr habt alles falsch gemacht !	das irritiert .	Vielen Ostdeutschen wurde wendebedingt jedoch eingeredet : Ihr habt alles falsch gemacht ! Und das irritiert .
maz-9852.xml	22	Expansion.Conjunction	explicit	Zudem	Vielen Ostdeutschen wurde wendebedingt jedoch eingeredet : Ihr habt alles falsch gemacht ! Und das irritiert .	verlor ein Großteil der ehemaligen DDR-Bürger die Arbeit , damit den sozialen Halt .	Vielen Ostdeutschen wurde wendebedingt jedoch eingeredet : Ihr habt alles falsch gemacht ! Und das irritiert . Zudem verlor ein Großteil der ehemaligen DDR-Bürger die Arbeit , damit den sozialen Halt .
maz-9852.xml	25	Expansion.Conjunction	explicit	Und	Die Vereinsmitglieder des Jugendrechtshauses wollen zuhören .	das ist ein guter erster Schritt .	Die Vereinsmitglieder des Jugendrechtshauses wollen zuhören . Und das ist ein guter erster Schritt .
maz-9852.xml	26	Expansion.Level-of-detail.Arg2-as-detail	implicit		Heranwachsende haben seit jeher und überall ein Problem gehabt :	Sie sind rebellisch und machen dumme Sachen .	Heranwachsende haben seit jeher und überall ein Problem gehabt : Sie sind rebellisch und machen dumme Sachen .
maz-9852.xml	27	Contingency.Cause.Result	implicit		Sie sind rebellisch und machen dumme Sachen .	Sie wegzuschließen , scheint eine Lösung zu sein .	Sie sind rebellisch und machen dumme Sachen . Sie wegzuschließen , scheint eine Lösung zu sein .
maz-9852.xml	28		EntRel		Deshalb ist es sehr lobenswert , dass sich auch in Königs Wusterhausen der Verein Jugendrechtshaus gegründet hat .	38 Männer und Frauen aus dem Ort erklärten sich bereit ohne Gegenleistung in die Zukunft zu investieren : in Kinder und Jugendliche .	Deshalb ist es sehr lobenswert , dass sich auch in Königs Wusterhausen der Verein Jugendrechtshaus gegründet hat . 38 Männer und Frauen aus dem Ort erklärten sich bereit ohne Gegenleistung in die Zukunft zu investieren : in Kinder und Jugendliche .
maz-9852.xml	29		EntRel		38 Männer und Frauen aus dem Ort erklärten sich bereit ohne Gegenleistung in die Zukunft zu investieren : in Kinder und Jugendliche .	Sie wollen Rechtsbewusstsein lehren , Ansprechpartner sein und die jungen Leute an die Regeln des menschlichen Zusammenlebens heranführen .	38 Männer und Frauen aus dem Ort erklärten sich bereit ohne Gegenleistung in die Zukunft zu investieren : in Kinder und Jugendliche . Sie wollen Rechtsbewusstsein lehren , Ansprechpartner sein und die jungen Leute an die Regeln des menschlichen Zusammenlebens heranführen .
maz-9852.xml	30	Contingency.Cause.Reason	AltLex	Auch weil	Sie wollen Rechtsbewusstsein lehren , Ansprechpartner sein und die jungen Leute an die Regeln des menschlichen Zusammenlebens heranführen .	Auch weil Elternhäuser und Schulen dies nicht immer schaffen .	Sie wollen Rechtsbewusstsein lehren , Ansprechpartner sein und die jungen Leute an die Regeln des menschlichen Zusammenlebens heranführen . Auch weil Elternhäuser und Schulen dies nicht immer schaffen .
maz-9852.xml	31		NoRel		Auch weil Elternhäuser und Schulen dies nicht immer schaffen .	Orientierungslose Menschen gibt es überall .	Auch weil Elternhäuser und Schulen dies nicht immer schaffen . Orientierungslose Menschen gibt es überall .
maz-9852.xml	32	Expansion.Conjunction	implicit		Zudem verlor ein Großteil der ehemaligen DDR-Bürger die Arbeit , damit den sozialen Halt .	Eltern , die selbst um ihr Gleichgewicht kämpfen , haben mit sich selbst zu tun .	Zudem verlor ein Großteil der ehemaligen DDR-Bürger die Arbeit , damit den sozialen Halt . Eltern , die selbst um ihr Gleichgewicht kämpfen , haben mit sich selbst zu tun .
maz-9852.xml	33	Contingency.Cause.Result	implicit		Eltern , die selbst um ihr Gleichgewicht kämpfen , haben mit sich selbst zu tun .	Sie können nur bedingt Gesprächspartner und Vorbilder sein .	Eltern , die selbst um ihr Gleichgewicht kämpfen , haben mit sich selbst zu tun . Sie können nur bedingt Gesprächspartner und Vorbilder sein .
maz-9852.xml	34	Comparison.Contrast	implicit		Sie können nur bedingt Gesprächspartner und Vorbilder sein .	Die Vereinsmitglieder des Jugendrechtshauses wollen zuhören .	Sie können nur bedingt Gesprächspartner und Vorbilder sein . Die Vereinsmitglieder des Jugendrechtshauses wollen zuhören .
maz-9852.xml	35	Expansion.Conjunction	implicit		Und das ist ein guter erster Schritt .	Hoffentlich folgen weitere .	Und das ist ein guter erster Schritt . Hoffentlich folgen weitere .
maz-19012.xml	1	Contingency.Cause.Reason	explicit	Denn	Der Traum vieler Menschen von der weißen Weihnacht ist diesmal in der Prignitz teilweise wahr geworden .	an Heiligabend hüllte sich die Landschaft in ein Schneekleid .	Der Traum vieler Menschen von der weißen Weihnacht ist diesmal in der Prignitz teilweise wahr geworden . Denn an Heiligabend hüllte sich die Landschaft in ein Schneekleid .
maz-19012.xml	2	Expansion.Conjunction	explicit	Und	Denn an Heiligabend hüllte sich die Landschaft in ein Schneekleid .	auch wenn an den beiden Feiertagen ein Großteil wieder weg getaut ist , so dürften sich vor allem die Kinder über ein standesgemäßes Fest gefreut haben .	Denn an Heiligabend hüllte sich die Landschaft in ein Schneekleid . Und auch wenn an den beiden Feiertagen ein Großteil wieder weg getaut ist , so dürften sich vor allem die Kinder über ein standesgemäßes Fest gefreut haben .
maz-19012.xml	4	Comparison.Concession.Arg1-as-denier	explicit	auch wenn	so dürften sich vor allem die Kinder über ein standesgemäßes Fest gefreut haben .	Und an den beiden Feiertagen ein Großteil wieder weg getaut ist ,	Und auch wenn an den beiden Feiertagen ein Großteil wieder weg getaut ist , so dürften sich vor allem die Kinder über ein standesgemäßes Fest gefreut haben .
maz-19012.xml	7	Contingency.Cause.Result	explicit	so	Und auch wenn an den beiden Feiertagen ein Großteil wieder weg getaut ist ,	dürften sich vor allem die Kinder über ein standesgemäßes Fest gefreut haben .	Und auch wenn an den beiden Feiertagen ein Großteil wieder weg getaut ist , so dürften sich vor allem die Kinder über ein standesgemäßes Fest gefreut haben .
maz-19012.xml	8	Contingency.Cause.Reason	explicit	Denn	Übrigens zum zweiten Mal nacheinander .	wer erinnert sich nicht an den Schneeeinbruch im Vorjahr , der rechtzeitig zum Fest die Prignitz erreichte und sogar über die Feiertage hinaus für eine Winterlandschaft sorgte ?	Übrigens zum zweiten Mal nacheinander . Denn wer erinnert sich nicht an den Schneeeinbruch im Vorjahr , der rechtzeitig zum Fest die Prignitz erreichte und sogar über die Feiertage hinaus für eine Winterlandschaft sorgte ?
maz-19012.xml	10	Expansion.Conjunction	explicit	und	der rechtzeitig zum Fest die Prignitz erreichte	sogar über die Feiertage hinaus für eine Winterlandschaft sorgte ?	der rechtzeitig zum Fest die Prignitz erreichte und sogar über die Feiertage hinaus für eine Winterlandschaft sorgte ?
maz-19012.xml	11	Contingency.Cause.Result	explicit	also	Denn wer erinnert sich nicht an den Schneeeinbruch im Vorjahr , der rechtzeitig zum Fest die Prignitz erreichte und sogar über die Feiertage hinaus für eine Winterlandschaft sorgte ?	Es kann keine Rede davon sein , dass die weiße Weihnacht ein Phänomen ist , das der Vergangenheit angehört .	Denn wer erinnert sich nicht an den Schneeeinbruch im Vorjahr , der rechtzeitig zum Fest die Prignitz erreichte und sogar über die Feiertage hinaus für eine Winterlandschaft sorgte ? Es kann also keine Rede davon sein , dass die weiße Weihnacht ein Phänomen ist , das der Vergangenheit angehört .
maz-19012.xml	12	Comparison.Concession.Arg1-as-denier	explicit	wenn auch	Selbst auf Mallorca lag zum Fest Schnee	nur in 1000 Meter Höhe .	Selbst auf Mallorca lag zum Fest Schnee wenn auch nur in 1000 Meter Höhe .
maz-19012.xml	14	Contingency.Cause.Result	explicit	so	folgt man dem Polizeibericht ,	hielten sich die Folgen in der Prignitz in Grenzen .	folgt man dem Polizeibericht , so hielten sich die Folgen in der Prignitz in Grenzen .
maz-19012.xml	15	Comparison.Concession.Arg2-as-denier	explicit	Doch	Immerhin bleiben den Menschen in diesen Regionen die Wetterunbilden auf den Straßen erspart .	folgt man dem Polizeibericht , so hielten sich die Folgen in der Prignitz in Grenzen .	Immerhin bleiben den Menschen in diesen Regionen die Wetterunbilden auf den Straßen erspart . Doch folgt man dem Polizeibericht , so hielten sich die Folgen in der Prignitz in Grenzen .
maz-19012.xml	16	Expansion.Disjunction	explicit	Oder	Die meisten Menschen waren wohl auf den Wetterumschwung eingestellt .	blieben ganz einfach zu Hause , wie sich das zu Weihnachten gehört .	Die meisten Menschen waren wohl auf den Wetterumschwung eingestellt . Oder blieben ganz einfach zu Hause , wie sich das zu Weihnachten gehört .
maz-19012.xml	17	Expansion.Equivalence	explicit	wie	Oder blieben ganz einfach zu Hause ,	sich das zu Weihnachten gehört .	Oder blieben ganz einfach zu Hause , wie sich das zu Weihnachten gehört .
maz-19012.xml	18	Contingency.Cause.Reason	implicit		Es kann also keine Rede davon sein , dass die weiße Weihnacht ein Phänomen ist , das der Vergangenheit angehört .	In diesem Jahr reichte sie bis weit in den Süden .	Es kann also keine Rede davon sein , dass die weiße Weihnacht ein Phänomen ist , das der Vergangenheit angehört . In diesem Jahr reichte sie bis weit in den Süden .
maz-19012.xml	19	Expansion.Instantiation.Arg2-as-instance	AltLex	Selbst	In diesem Jahr reichte sie bis weit in den Süden .	Selbst auf Mallorca lag zum Fest Schnee - wenn auch nur in 1000 Meter Höhe .	In diesem Jahr reichte sie bis weit in den Süden . Selbst auf Mallorca lag zum Fest Schnee - wenn auch nur in 1000 Meter Höhe .
maz-19012.xml	20	Comparison.Contrast	AltLex	wiederum	Selbst auf Mallorca lag zum Fest Schnee - wenn auch nur in 1000 Meter Höhe .	Anderswo wiederum wird des Fest immer bei sengender Hitze gefeiert - unvorstellbar für uns .	Selbst auf Mallorca lag zum Fest Schnee - wenn auch nur in 1000 Meter Höhe . Anderswo wiederum wird des Fest immer bei sengender Hitze gefeiert - unvorstellbar für uns .
maz-19012.xml	21	Comparison.Concession.Arg2-as-denier	explicit	Immerhin	Immerhin bleiben den Menschen in diesen Regionen die Wetterunbilden auf den Straßen erspart .	Anderswo wiederum wird des Fest immer bei sengender Hitze gefeiert - unvorstellbar für uns .	Anderswo wiederum wird des Fest immer bei sengender Hitze gefeiert - unvorstellbar für uns . Immerhin bleiben den Menschen in diesen Regionen die Wetterunbilden auf den Straßen erspart .
maz-19012.xml	22	Contingency.Cause.Reason	implicit		Doch folgt man dem Polizeibericht , so hielten sich die Folgen in der Prignitz in Grenzen .	Die meisten Menschen waren wohl auf den Wetterumschwung eingestellt .	Doch folgt man dem Polizeibericht , so hielten sich die Folgen in der Prignitz in Grenzen . Die meisten Menschen waren wohl auf den Wetterumschwung eingestellt .
maz-5144.xml	3	Expansion.Instantiation.Arg2-as-instance	explicit	zum Beispiel	Der zuständige Stab kennt Gefahrenlagen , die von schweren Unglücken ausgehen können ,	mit Zügen .	Der zuständige Stab kennt Gefahrenlagen , die von schweren Unglücken ausgehen können , zum Beispiel mit Zügen .
maz-5144.xml	4	Contingency.Cause.Result	explicit	so	Das reicht nicht mehr aus .	Und muss Landrat Christian Gilde jetzt eine gewisse Hilflosigkeit erkennen lassen , was das Reagieren auf möglichen Terror und seine Folgen angeht .	Das reicht nicht mehr aus . Und so muss Landrat Christian Gilde jetzt eine gewisse Hilflosigkeit erkennen lassen , was das Reagieren auf möglichen Terror und seine Folgen angeht .
maz-5144.xml	5	Expansion.Disjunction	explicit	oder	vordergründig bedroht	einfach nur in verständlicher Sorge	vordergründig bedroht oder einfach nur in verständlicher Sorge
maz-5144.xml	6	Expansion.Conjunction	explicit	und	schon mehrfach Szenarien durchgespielt	Gegenmaßnahmen geprobt .	schon mehrfach Szenarien durchgespielt und Gegenmaßnahmen geprobt .
maz-5144.xml	7	Expansion.Conjunction	explicit	Und	Das reicht nicht mehr aus .	so muss Landrat Christian Gilde jetzt eine gewisse Hilflosigkeit erkennen lassen , was das Reagieren auf möglichen Terror und seine Folgen angeht .	Das reicht nicht mehr aus . Und so muss Landrat Christian Gilde jetzt eine gewisse Hilflosigkeit erkennen lassen , was das Reagieren auf möglichen Terror und seine Folgen angeht .
maz-5144.xml	8	Expansion.Conjunction	implicit		Schon machen die ersten Witze die Runde .	Darin kommt weißes Pulver vor .	Schon machen die ersten Witze die Runde . Darin kommt weißes Pulver vor .
maz-5144.xml	9	Expansion.Equivalence	implicit		Darin kommt weißes Pulver vor .	Makabres wird immer aus todernster Wirklichkeit geboren .	Darin kommt weißes Pulver vor . Makabres wird immer aus todernster Wirklichkeit geboren .
maz-5144.xml	10	Expansion.Conjunction	implicit		Makabres wird immer aus todernster Wirklichkeit geboren .	Es hat wieder den Anschein , als würden Menschen nur galgenhumorig Tatsachen ins Auge sehen können , denen sie machtlos ausgeliefert sind .	Makabres wird immer aus todernster Wirklichkeit geboren . Es hat wieder den Anschein , als würden Menschen nur galgenhumorig Tatsachen ins Auge sehen können , denen sie machtlos ausgeliefert sind .
maz-5144.xml	11	Expansion.Conjunction	implicit		Jetzt haben sich auch die Verantwortlichen des Landkreises mit der Weltlage beschäftigen müssen .	Der zuständige Stab kennt Gefahrenlagen , die von schweren Unglücken ausgehen können , zum Beispiel mit Zügen .	Jetzt haben sich auch die Verantwortlichen des Landkreises mit der Weltlage beschäftigen müssen . Der zuständige Stab kennt Gefahrenlagen , die von schweren Unglücken ausgehen können , zum Beispiel mit Zügen .
maz-5144.xml	12	Expansion.Instantiation.Arg2-as-instance	implicit		Der zuständige Stab kennt Gefahrenlagen , die von schweren Unglücken ausgehen können , zum Beispiel mit Zügen .	Auf dem Bahnhof Neustadt hat man schon mehrfach Szenarien durchgespielt und Gegenmaßnahmen geprobt .	Der zuständige Stab kennt Gefahrenlagen , die von schweren Unglücken ausgehen können , zum Beispiel mit Zügen . Auf dem Bahnhof Neustadt hat man schon mehrfach Szenarien durchgespielt und Gegenmaßnahmen geprobt .
maz-5144.xml	13	Comparison.Concession.Arg2-as-denier	implicit		Und so muss Landrat Christian Gilde jetzt eine gewisse Hilflosigkeit erkennen lassen , was das Reagieren auf möglichen Terror und seine Folgen angeht .	Da ist nichts vorzuwerfen .	Und so muss Landrat Christian Gilde jetzt eine gewisse Hilflosigkeit erkennen lassen , was das Reagieren auf möglichen Terror und seine Folgen angeht . Da ist nichts vorzuwerfen .
maz-5144.xml	14	Contingency.Cause.Reason	implicit		Da ist nichts vorzuwerfen .	Niemand hat verschlampt , was er besser hätte vorbereiten sollen .	Da ist nichts vorzuwerfen . Niemand hat verschlampt , was er besser hätte vorbereiten sollen .
maz-5144.xml	15	Expansion.Conjunction	implicit		Niemand hat verschlampt , was er besser hätte vorbereiten sollen .	Keiner hat sich schließlich vor dem 11. September vorstellen können , wozu Menschen , von Fanatismus getrieben , fähig sind .	Niemand hat verschlampt , was er besser hätte vorbereiten sollen . Keiner hat sich schließlich vor dem 11. September vorstellen können , wozu Menschen , von Fanatismus getrieben , fähig sind .
maz-5144.xml	16	Temporal.Asynchronous.Precedence	AltLex	Nun	Keiner hat sich schließlich vor dem 11. September vorstellen können , wozu Menschen , von Fanatismus getrieben , fähig sind .	Nun wird der Katastrophenschutz einen neuen Stellenwert bekommen .	Keiner hat sich schließlich vor dem 11. September vorstellen können , wozu Menschen , von Fanatismus getrieben , fähig sind . Nun wird der Katastrophenschutz einen neuen Stellenwert bekommen .
maz-5144.xml	17	Contingency.Cause.Reason	implicit		Nun wird der Katastrophenschutz einen neuen Stellenwert bekommen .	Der Landkreis und die Kommunen , vordergründig bedroht oder einfach nur in verständlicher Sorge , sind auf Hilfe angewiesen .	Nun wird der Katastrophenschutz einen neuen Stellenwert bekommen . Der Landkreis und die Kommunen , vordergründig bedroht oder einfach nur in verständlicher Sorge , sind auf Hilfe angewiesen .
