#filename	ss	so	sx	s-	os	oo	ox	o-	xs	xo	xx	x-	-s	-o	-x	--
maz-18333	0	0	0	0.05	0	0	0	0	0	0	0	0	0.05	0	0	0.9
maz-18354	0.003247	0	0	0.022727	0	0	0	0.00974	0	0	0	0.003247	0.022727	0.00974	0.003247	0.925325
maz-18377	0	0	0	0.068421	0	0	0	0	0	0	0	0	0.068421	0.005263	0	0.857895
maz-18454	0.009524	0	0	0.052381	0.004762	0	0	0.004762	0	0	0	0	0.061905	0.019048	0	0.847619
maz-18480	0	0	0	0.019608	0	0	0	0.006536	0	0	0	0.013072	0.019608	0.013072	0.026144	0.901961
maz-18712	0.006944	0	0.013889	0.041667	0.006944	0	0	0	0.013889	0	0	0.006944	0.041667	0.006944	0.020833	0.840278
maz-18750	0	0	0	0.038462	0	0	0	0.023077	0	0	0	0.023077	0.046154	0.023077	0.023077	0.823077
maz-18912	0	0	0	0.023569	0	0	0	0.010101	0.003367	0	0	0	0.020202	0.016835	0.010101	0.915825
maz-18914	0.004525	0	0	0.036199	0	0	0	0.00905	0	0	0	0.013575	0.040724	0.00905	0.013575	0.873303
maz-18945	0	0	0	0.014423	0	0	0	0.014423	0	0	0	0	0.019231	0.014423	0	0.9375
maz-19012	0.003968	0	0	0.031746	0	0	0	0.003968	0	0	0	0.011905	0.031746	0.003968	0.011905	0.900794
maz-19074	0.007519	0	0	0.035088	0	0	0	0.002506	0	0	0	0	0.035088	0.002506	0	0.917293
maz-19150	0	0	0	0.022222	0	0	0	0.005556	0	0	0	0	0.016667	0.005556	0	0.95
maz-19295	0	0	0	0.029412	0	0	0	0.007353	0	0	0	0.007353	0.036765	0.007353	0.007353	0.904412
maz-19372	0.003906	0.003906	0	0.035156	0	0	0	0.007812	0	0	0	0.011719	0.039062	0.003906	0.011719	0.882812
maz-19436	0	0.003846	0	0.026923	0	0	0	0.007692	0	0	0	0.003846	0.030769	0.007692	0.003846	0.915385
maz-19442	0	0	0	0.017544	0	0	0	0.035088	0	0	0	0.005848	0.023392	0.046784	0.011696	0.859649
maz-19501	0.044444	0	0.022222	0.044444	0.022222	0.022222	0	0.022222	0	0.022222	0	0	0.044444	0.022222	0	0.733333
maz-2316	0	0	0	0.050725	0.007246	0	0	0.007246	0	0	0	0	0.050725	0.014493	0	0.869565
maz-2609	0.004167	0	0	0.033333	0	0	0	0.008333	0	0	0	0.004167	0.0375	0.0125	0.004167	0.895833
maz-2611	0.007937	0	0	0.055556	0	0	0	0.007937	0	0	0	0.015873	0.071429	0.007937	0.015873	0.81746
maz-2669	0.009091	0	0	0.036364	0	0	0	0.013636	0	0	0	0	0.040909	0.013636	0	0.886364
maz-3073	0.008333	0	0.004167	0.020833	0	0	0	0.008333	0	0	0	0.020833	0.025	0.008333	0.016667	0.8875
maz-3080	0	0	0	0.02381	0	0	0.004762	0.004762	0	0	0	0.009524	0.02381	0.009524	0.009524	0.914286
maz-3110	0	0	0	0.019324	0	0	0	0.019324	0	0	0	0.004831	0.024155	0.019324	0.004831	0.908213
maz-3277	0.004386	0	0	0.02193	0	0	0	0.004386	0	0	0	0.008772	0.017544	0.004386	0.013158	0.925439
maz-3367	0	0	0	0.017429	0	0	0	0.004357	0	0	0	0	0.019608	0.004357	0	0.954248
maz-3377	0.007143	0	0.007143	0.028571	0	0	0	0.014286	0	0	0	0.021429	0.042857	0.021429	0.035714	0.821429
maz-3415	0.008658	0	0	0.021645	0	0	0	0.017316	0	0	0	0	0.019481	0.017316	0.002165	0.91342
maz-3547	0	0	0	0.047619	0	0	0	0	0	0	0	0	0.061224	0	0	0.891156
maz-4031	0	0	0	0.036364	0.004545	0	0	0.004545	0	0	0	0.004545	0.031818	0.009091	0.009091	0.9
maz-4181	0.230769	0.076923	0	0.153846	0	0.076923	0	0	0	0	0	0	0.230769	0	0	0.230769
maz-4282	0	0	0	0.033333	0	0	0	0.009524	0	0	0	0	0.033333	0.009524	0	0.914286
maz-4403	0.005051	0	0	0.035354	0	0	0	0	0	0	0	0	0.040404	0.005051	0.005051	0.909091
maz-4428	0	0	0	0.030864	0	0	0	0.012346	0	0	0	0	0.033951	0.012346	0	0.910494
maz-4472	0.007937	0	0	0.039683	0	0	0	0.003968	0	0	0	0	0.039683	0.003968	0	0.904762
maz-4636	0	0.006944	0	0.027778	0	0	0	0.006944	0	0	0	0.006944	0.048611	0	0.006944	0.895833
maz-4794	0.007143	0.007143	0	0.028571	0	0	0	0.021429	0	0	0	0	0.028571	0.028571	0	0.878571
maz-4959	0	0.004545	0	0.045455	0	0	0	0.004545	0	0	0	0	0.05	0.009091	0	0.886364
maz-5007	0	0	0	0.017483	0	0	0	0.01049	0	0	0	0.006993	0.024476	0.01049	0.006993	0.923077
maz-5010	0	0	0	0.02963	0	0	0	0.007407	0	0	0	0	0.022222	0.007407	0	0.933333
maz-5012	0.009615	0	0	0.038462	0	0	0	0	0	0	0	0	0.038462	0	0	0.913462
maz-5039	0	0	0	0.021053	0	0	0	0.010526	0	0	0	0.005263	0.026316	0.021053	0.005263	0.910526
maz-5144	0	0	0	0.022624	0	0	0	0.00905	0	0	0	0	0.031674	0.00905	0	0.927602
maz-5297	0	0.006579	0	0.026316	0	0	0	0.013158	0	0	0	0	0.026316	0.013158	0	0.914474
maz-5701	0	0.045455	0.045455	0.181818	0	0	0	0	0.045455	0	0	0	0.181818	0	0	0.5
maz-5709	0	0	0	0.03	0	0	0	0.01	0	0	0	0.015	0.04	0.01	0.015	0.88
maz-5715	0.0125	0	0	0.0375	0	0	0	0.01875	0	0	0	0	0.0375	0.01875	0	0.875
maz-5873	0.005263	0	0	0.021053	0	0	0	0.010526	0	0	0	0.010526	0.026316	0.010526	0.010526	0.905263
maz-5876	0	0	0	0.033333	0	0	0	0.022222	0	0	0	0	0.033333	0.022222	0	0.888889
maz-5932	0.003367	0	0	0.016835	0	0	0	0	0	0	0	0.006734	0.023569	0	0.006734	0.942761
maz-6046	0	0	0.003472	0.041667	0	0	0	0.010417	0	0	0	0.006944	0.048611	0.010417	0.006944	0.871528
maz-6159	0.002463	0	0	0.024631	0	0	0	0.009852	0	0	0	0.002463	0.027094	0.009852	0.002463	0.921182
maz-6165	0.00463	0	0	0.023148	0	0	0	0.00463	0	0	0.00463	0.00463	0.037037	0.009259	0.009259	0.902778
maz-6193	0.003968	0.003968	0	0.035714	0	0	0	0.007937	0	0	0	0	0.047619	0.003968	0.003968	0.892857
maz-6488	0	0	0	0.013158	0	0	0	0.005263	0	0	0	0	0.018421	0.007895	0	0.955263
maz-6539	0.01	0	0	0.03	0	0	0	0.04	0	0	0	0.01	0.04	0.05	0.01	0.81
maz-6728	0	0	0	0.023438	0	0	0	0.007812	0	0	0	0	0.023438	0.011719	0	0.933594
maz-6918	0.007937	0	0	0.047619	0	0	0	0.007937	0	0	0	0.007937	0.047619	0.007937	0.007937	0.865079
maz-6993	0	0	0	0.031746	0	0	0	0	0	0	0	0	0.039683	0.003968	0	0.924603
maz-7053	0	0	0	0.030435	0	0	0	0	0	0	0	0.004348	0.03913	0	0.004348	0.921739
maz-7071	0	0	0	0.046875	0	0	0	0.005208	0	0	0.005208	0.010417	0.046875	0.005208	0.010417	0.869792
maz-7220	0	0	0	0.015152	0	0	0	0	0	0	0	0	0.030303	0.022727	0	0.931818
maz-7690	0	0	0	0.035573	0.003953	0	0	0.007905	0	0	0	0	0.043478	0.01581	0	0.893281
maz-7967	0.002315	0	0	0.020833	0	0	0	0.006944	0	0	0	0.006944	0.020833	0.006944	0.006944	0.928241
maz-7969	0	0.005	0	0.025	0	0	0	0.02	0	0	0	0.01	0.035	0.015	0.01	0.88
maz-8134	0.002849	0.002849	0	0.025641	0	0	0	0.014245	0	0	0	0	0.034188	0.014245	0.002849	0.903134
maz-8288	0.004167	0	0	0.029167	0	0	0	0.004167	0	0	0	0	0.0375	0.004167	0	0.920833
maz-8361	0.017544	0	0	0.040936	0	0	0	0.02924	0	0	0	0	0.052632	0.02924	0	0.830409
maz-8509	0	0	0	0.019048	0	0	0	0.014286	0	0	0	0	0.02381	0.014286	0	0.928571
maz-8563	0	0	0	0.012019	0	0	0	0.004808	0	0	0	0.002404	0.016827	0.004808	0.002404	0.956731
maz-8586	0	0	0	0.020202	0	0	0	0.006734	0	0	0	0	0.023569	0.006734	0	0.942761
maz-8665	0	0	0	0.045455	0	0	0	0.006494	0	0	0	0	0.058442	0.006494	0	0.883117
maz-8727	0	0	0	0.027778	0	0	0	0.011111	0	0	0	0.005556	0.027778	0.016667	0.005556	0.905556
maz-8838	0.00463	0	0	0.023148	0	0	0	0	0	0	0	0.009259	0.032407	0	0.009259	0.921296
maz-8981	0.004167	0.004167	0	0.025	0	0	0	0.016667	0	0	0	0.008333	0.033333	0.0125	0.008333	0.8875
maz-9207	0	0	0	0.027778	0	0	0	0.016667	0	0	0	0	0.044444	0.027778	0.005556	0.877778
maz-9335	0.008772	0	0	0.030702	0	0	0	0.004386	0	0	0	0.008772	0.035088	0.004386	0.008772	0.899123
maz-9521	0.005952	0.002976	0	0.020833	0	0	0	0.017857	0	0	0	0.005952	0.026786	0.017857	0.005952	0.895833
maz-9538	0.004329	0	0	0.04329	0	0	0	0.012987	0	0	0	0	0.04329	0.012987	0.008658	0.874459
maz-9612	0.005	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0.005	0.005	0.925
maz-9650	0.008403	0	0	0.042017	0	0	0	0.008403	0	0	0	0	0.058824	0.02521	0	0.857143
maz-9725	0	0	0	0.035714	0	0	0	0.007143	0	0	0	0.014286	0.042857	0.007143	0.007143	0.885714
maz-9782	0	0	0	0.033613	0	0	0	0.033613	0	0	0	0	0.02521	0.05042	0	0.857143
maz-9852	0	0.003268	0	0.019608	0	0	0	0.01634	0	0	0	0	0.026144	0.013072	0	0.921569
maz-9884	0.004032	0.001344	0	0.012097	0	0.001344	0.001344	0.004032	0.001344	0	0	0.001344	0.012097	0.00672	0.001344	0.952957
maz-9891	0.011111	0	0	0.038889	0	0	0	0	0	0	0	0	0.044444	0.005556	0	0.9
